domain,aspect,sentiment,tweet_text
restaurants,cleanliness,positive,I'm genuinely impressed with the cleanliness on this restaurants.
streaming services,content variety,neutral,"The content variety on the streaming services is okay, I guess."
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
e-commerce,delivery time,neutral,No real complaints or praise for the delivery time of this e-commerce.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
streaming services,app experience,negative,Really disappointed by the app experience in this streaming services.
smartphones,screen,positive,Totally satisfied with the screen—solid upgrade for the smartphones.
ride-sharing,car cleanliness,neutral,"Honestly, the car cleanliness feels pretty average for a ride-sharing."
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
smartphones,design,negative,Really disappointed by the design in this smartphones.
ride-sharing,wait time,neutral,Not much to say about the wait time—it's just fine.
e-commerce,product quality,positive,The product quality on this e-commerce exceeded all expectations.
restaurants,price,negative,Really disappointed by the price in this restaurants.
restaurants,food quality,negative,Wish the food quality on this restaurants was better.
restaurants,service,neutral,No real complaints or praise for the service of this restaurants.
restaurants,price,positive,I'm genuinely impressed with the price on this restaurants.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
streaming services,ads,negative,Wish the ads on this streaming services was better.
ride-sharing,wait time,positive,Absolutely loving the wait time of my new ride-sharing.
ride-sharing,route efficiency,neutral,"The ride-sharing's route efficiency does the job, nothing exciting."
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
ride-sharing,car cleanliness,negative,Wish the car cleanliness on this ride-sharing was better.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
ride-sharing,ride cost,negative,This ride-sharing seriously dropped the ball on ride cost.
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
ride-sharing,route efficiency,positive,The route efficiency on this ride-sharing exceeded all expectations.
streaming services,ads,positive,The ads on this streaming services exceeded all expectations.
smartphones,design,neutral,No real complaints or praise for the design of this smartphones.
restaurants,food quality,neutral,"The food quality on the restaurants is okay, I guess."
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
ride-sharing,ride cost,positive,I'm genuinely impressed with the ride cost on this ride-sharing.
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
e-commerce,refund policy,neutral,"The e-commerce's refund policy does the job, nothing exciting."
ride-sharing,route efficiency,positive,I'm genuinely impressed with the route efficiency on this ride-sharing.
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
ride-sharing,wait time,neutral,"Honestly, the wait time feels pretty average for a ride-sharing."
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
restaurants,service,neutral,"Honestly, the service feels pretty average for a restaurants."
restaurants,cleanliness,neutral,"The restaurants's cleanliness does the job, nothing exciting."
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
restaurants,service,positive,Totally satisfied with the service—solid upgrade for the restaurants.
smartphones,performance,negative,Really disappointed by the performance in this smartphones.
ride-sharing,wait time,neutral,"Honestly, the wait time feels pretty average for a ride-sharing."
smartphones,screen,positive,Absolutely loving the screen of my new smartphones.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
smartphones,camera,negative,Wish the camera on this smartphones was better.
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
restaurants,ambience,positive,Totally satisfied with the ambience—solid upgrade for the restaurants.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
restaurants,food quality,neutral,No real complaints or praise for the food quality of this restaurants.
e-commerce,delivery time,positive,Absolutely loving the delivery time of my new e-commerce.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
restaurants,price,negative,Wish the price on this restaurants was better.
restaurants,food quality,positive,Absolutely loving the food quality of my new restaurants.
ride-sharing,wait time,negative,This ride-sharing seriously dropped the ball on wait time.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
smartphones,battery life,positive,"Hands down, this is the best battery life I've experienced with any smartphones."
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
ride-sharing,route efficiency,neutral,No real complaints or praise for the route efficiency of this ride-sharing.
streaming services,content variety,neutral,No real complaints or praise for the content variety of this streaming services.
smartphones,screen,positive,"Hands down, this is the best screen I've experienced with any smartphones."
ride-sharing,ride cost,negative,This ride-sharing seriously dropped the ball on ride cost.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
smartphones,battery life,negative,Really disappointed by the battery life in this smartphones.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
streaming services,ads,positive,Totally satisfied with the ads—solid upgrade for the streaming services.
e-commerce,refund policy,positive,Absolutely loving the refund policy of my new e-commerce.
ride-sharing,wait time,neutral,"The wait time on the ride-sharing is okay, I guess."
streaming services,ads,negative,The ads totally ruined my experience with this streaming services.
smartphones,camera,negative,Really disappointed by the camera in this smartphones.
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
e-commerce,refund policy,neutral,"Honestly, the refund policy feels pretty average for a e-commerce."
e-commerce,customer support,positive,Totally satisfied with the customer support—solid upgrade for the e-commerce.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
smartphones,design,negative,The design totally ruined my experience with this smartphones.
e-commerce,refund policy,positive,Absolutely loving the refund policy of my new e-commerce.
smartphones,battery life,neutral,Not much to say about the battery life—it's just fine.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
ride-sharing,driver behavior,positive,Absolutely loving the driver behavior of my new ride-sharing.
ride-sharing,ride cost,negative,Really disappointed by the ride cost in this ride-sharing.
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
streaming services,subscription price,neutral,Not much to say about the subscription price—it's just fine.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
smartphones,design,negative,Wish the design on this smartphones was better.
restaurants,price,positive,"Hands down, this is the best price I've experienced with any restaurants."
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
ride-sharing,driver behavior,positive,Absolutely loving the driver behavior of my new ride-sharing.
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
ride-sharing,ride cost,neutral,"The ride-sharing's ride cost does the job, nothing exciting."
restaurants,food quality,neutral,"The food quality on the restaurants is okay, I guess."
restaurants,price,negative,This restaurants seriously dropped the ball on price.
smartphones,screen,negative,This smartphones seriously dropped the ball on screen.
streaming services,ads,negative,Wish the ads on this streaming services was better.
ride-sharing,route efficiency,positive,Totally satisfied with the route efficiency—solid upgrade for the ride-sharing.
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
e-commerce,product quality,neutral,"The e-commerce's product quality does the job, nothing exciting."
restaurants,ambience,neutral,No real complaints or praise for the ambience of this restaurants.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
smartphones,screen,positive,"Hands down, this is the best screen I've experienced with any smartphones."
e-commerce,product quality,neutral,"The product quality on the e-commerce is okay, I guess."
streaming services,video quality,neutral,No real complaints or praise for the video quality of this streaming services.
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
streaming services,ads,negative,The ads totally ruined my experience with this streaming services.
e-commerce,refund policy,neutral,"Honestly, the refund policy feels pretty average for a e-commerce."
e-commerce,delivery time,positive,Absolutely loving the delivery time of my new e-commerce.
e-commerce,customer support,positive,Totally satisfied with the customer support—solid upgrade for the e-commerce.
ride-sharing,route efficiency,neutral,"Honestly, the route efficiency feels pretty average for a ride-sharing."
smartphones,battery life,negative,Really disappointed by the battery life in this smartphones.
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
streaming services,ads,neutral,"The streaming services's ads does the job, nothing exciting."
smartphones,design,negative,This smartphones seriously dropped the ball on design.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
ride-sharing,car cleanliness,positive,Absolutely loving the car cleanliness of my new ride-sharing.
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
ride-sharing,car cleanliness,neutral,"Honestly, the car cleanliness feels pretty average for a ride-sharing."
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
e-commerce,customer support,negative,The customer support totally ruined my experience with this e-commerce.
streaming services,app experience,neutral,No real complaints or praise for the app experience of this streaming services.
e-commerce,refund policy,neutral,"The e-commerce's refund policy does the job, nothing exciting."
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
e-commerce,refund policy,positive,The refund policy on this e-commerce exceeded all expectations.
smartphones,battery life,positive,I'm genuinely impressed with the battery life on this smartphones.
restaurants,cleanliness,neutral,Not much to say about the cleanliness—it's just fine.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
streaming services,content variety,negative,Really disappointed by the content variety in this streaming services.
smartphones,screen,neutral,No real complaints or praise for the screen of this smartphones.
e-commerce,delivery time,negative,This e-commerce seriously dropped the ball on delivery time.
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
restaurants,price,positive,Absolutely loving the price of my new restaurants.
e-commerce,packaging,neutral,"The e-commerce's packaging does the job, nothing exciting."
streaming services,subscription price,negative,This streaming services seriously dropped the ball on subscription price.
ride-sharing,wait time,negative,Really disappointed by the wait time in this ride-sharing.
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
smartphones,camera,neutral,"Honestly, the camera feels pretty average for a smartphones."
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
streaming services,app experience,positive,"Hands down, this is the best app experience I've experienced with any streaming services."
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
restaurants,ambience,neutral,"The restaurants's ambience does the job, nothing exciting."
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,delivery time,neutral,No real complaints or praise for the delivery time of this e-commerce.
restaurants,food quality,positive,I'm genuinely impressed with the food quality on this restaurants.
restaurants,ambience,neutral,Not much to say about the ambience—it's just fine.
restaurants,ambience,neutral,"The restaurants's ambience does the job, nothing exciting."
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
smartphones,design,neutral,"The smartphones's design does the job, nothing exciting."
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
e-commerce,delivery time,negative,This e-commerce seriously dropped the ball on delivery time.
ride-sharing,car cleanliness,neutral,No real complaints or praise for the car cleanliness of this ride-sharing.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
ride-sharing,car cleanliness,negative,Still can't get over how bad the car cleanliness is on this ride-sharing.
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
ride-sharing,ride cost,neutral,No real complaints or praise for the ride cost of this ride-sharing.
restaurants,food quality,positive,I'm genuinely impressed with the food quality on this restaurants.
smartphones,screen,neutral,Not much to say about the screen—it's just fine.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
e-commerce,product quality,neutral,Not much to say about the product quality—it's just fine.
e-commerce,delivery time,neutral,"Honestly, the delivery time feels pretty average for a e-commerce."
restaurants,cleanliness,neutral,"The restaurants's cleanliness does the job, nothing exciting."
smartphones,camera,positive,Absolutely loving the camera of my new smartphones.
restaurants,service,neutral,"The service on the restaurants is okay, I guess."
restaurants,ambience,neutral,"Honestly, the ambience feels pretty average for a restaurants."
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
streaming services,ads,positive,"Hands down, this is the best ads I've experienced with any streaming services."
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
ride-sharing,ride cost,positive,Absolutely loving the ride cost of my new ride-sharing.
smartphones,screen,neutral,Not much to say about the screen—it's just fine.
ride-sharing,ride cost,positive,Absolutely loving the ride cost of my new ride-sharing.
restaurants,service,neutral,No real complaints or praise for the service of this restaurants.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
ride-sharing,route efficiency,negative,Wish the route efficiency on this ride-sharing was better.
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
smartphones,screen,positive,Totally satisfied with the screen—solid upgrade for the smartphones.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
streaming services,subscription price,neutral,"The streaming services's subscription price does the job, nothing exciting."
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
restaurants,food quality,positive,The food quality on this restaurants exceeded all expectations.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
restaurants,price,negative,The price totally ruined my experience with this restaurants.
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
restaurants,ambience,neutral,No real complaints or praise for the ambience of this restaurants.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
restaurants,price,negative,Really disappointed by the price in this restaurants.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
e-commerce,packaging,neutral,"The packaging on the e-commerce is okay, I guess."
streaming services,ads,negative,Still can't get over how bad the ads is on this streaming services.
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
ride-sharing,car cleanliness,positive,"Hands down, this is the best car cleanliness I've experienced with any ride-sharing."
streaming services,subscription price,neutral,"Honestly, the subscription price feels pretty average for a streaming services."
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
restaurants,service,negative,Still can't get over how bad the service is on this restaurants.
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
e-commerce,product quality,neutral,"The e-commerce's product quality does the job, nothing exciting."
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
smartphones,camera,neutral,Not much to say about the camera—it's just fine.
smartphones,camera,positive,Absolutely loving the camera of my new smartphones.
smartphones,design,positive,Totally satisfied with the design—solid upgrade for the smartphones.
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
restaurants,price,positive,The price on this restaurants exceeded all expectations.
ride-sharing,wait time,positive,The wait time on this ride-sharing exceeded all expectations.
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
e-commerce,packaging,positive,Totally satisfied with the packaging—solid upgrade for the e-commerce.
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
smartphones,battery life,positive,"Hands down, this is the best battery life I've experienced with any smartphones."
e-commerce,product quality,neutral,No real complaints or praise for the product quality of this e-commerce.
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
smartphones,design,neutral,No real complaints or praise for the design of this smartphones.
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
e-commerce,refund policy,negative,Wish the refund policy on this e-commerce was better.
smartphones,screen,neutral,"The screen on the smartphones is okay, I guess."
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
streaming services,app experience,neutral,"Honestly, the app experience feels pretty average for a streaming services."
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
streaming services,subscription price,positive,Absolutely loving the subscription price of my new streaming services.
smartphones,camera,positive,Absolutely loving the camera of my new smartphones.
ride-sharing,driver behavior,neutral,No real complaints or praise for the driver behavior of this ride-sharing.
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
restaurants,food quality,positive,The food quality on this restaurants exceeded all expectations.
streaming services,ads,neutral,No real complaints or praise for the ads of this streaming services.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
smartphones,screen,positive,Totally satisfied with the screen—solid upgrade for the smartphones.
ride-sharing,ride cost,neutral,"The ride-sharing's ride cost does the job, nothing exciting."
ride-sharing,driver behavior,neutral,"Honestly, the driver behavior feels pretty average for a ride-sharing."
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
restaurants,price,positive,I'm genuinely impressed with the price on this restaurants.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
streaming services,video quality,negative,Really disappointed by the video quality in this streaming services.
e-commerce,customer support,negative,This e-commerce seriously dropped the ball on customer support.
restaurants,price,negative,Still can't get over how bad the price is on this restaurants.
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
restaurants,cleanliness,negative,Still can't get over how bad the cleanliness is on this restaurants.
smartphones,design,positive,Absolutely loving the design of my new smartphones.
streaming services,ads,neutral,"The ads on the streaming services is okay, I guess."
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
ride-sharing,wait time,negative,This ride-sharing seriously dropped the ball on wait time.
ride-sharing,driver behavior,negative,Wish the driver behavior on this ride-sharing was better.
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
smartphones,camera,positive,Totally satisfied with the camera—solid upgrade for the smartphones.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
restaurants,ambience,neutral,No real complaints or praise for the ambience of this restaurants.
streaming services,video quality,negative,The video quality totally ruined my experience with this streaming services.
ride-sharing,car cleanliness,neutral,"The ride-sharing's car cleanliness does the job, nothing exciting."
streaming services,content variety,positive,The content variety on this streaming services exceeded all expectations.
smartphones,camera,negative,The camera totally ruined my experience with this smartphones.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
restaurants,ambience,negative,This restaurants seriously dropped the ball on ambience.
restaurants,cleanliness,negative,This restaurants seriously dropped the ball on cleanliness.
e-commerce,customer support,neutral,"Honestly, the customer support feels pretty average for a e-commerce."
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
smartphones,camera,positive,Totally satisfied with the camera—solid upgrade for the smartphones.
restaurants,price,negative,Still can't get over how bad the price is on this restaurants.
restaurants,ambience,positive,"Hands down, this is the best ambience I've experienced with any restaurants."
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
smartphones,battery life,negative,Really disappointed by the battery life in this smartphones.
restaurants,service,negative,The service totally ruined my experience with this restaurants.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
smartphones,design,neutral,"Honestly, the design feels pretty average for a smartphones."
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
smartphones,design,positive,The design on this smartphones exceeded all expectations.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
e-commerce,customer support,negative,Really disappointed by the customer support in this e-commerce.
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
ride-sharing,wait time,negative,The wait time totally ruined my experience with this ride-sharing.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
restaurants,ambience,neutral,"The ambience on the restaurants is okay, I guess."
e-commerce,refund policy,negative,Wish the refund policy on this e-commerce was better.
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
smartphones,battery life,negative,Still can't get over how bad the battery life is on this smartphones.
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
smartphones,design,negative,Really disappointed by the design in this smartphones.
e-commerce,product quality,positive,Absolutely loving the product quality of my new e-commerce.
restaurants,service,negative,This restaurants seriously dropped the ball on service.
smartphones,design,negative,The design totally ruined my experience with this smartphones.
ride-sharing,route efficiency,negative,The route efficiency totally ruined my experience with this ride-sharing.
e-commerce,product quality,negative,The product quality totally ruined my experience with this e-commerce.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
restaurants,cleanliness,positive,The cleanliness on this restaurants exceeded all expectations.
restaurants,price,neutral,"The price on the restaurants is okay, I guess."
smartphones,design,negative,Really disappointed by the design in this smartphones.
streaming services,app experience,positive,"Hands down, this is the best app experience I've experienced with any streaming services."
restaurants,cleanliness,negative,This restaurants seriously dropped the ball on cleanliness.
streaming services,content variety,positive,The content variety on this streaming services exceeded all expectations.
restaurants,service,positive,The service on this restaurants exceeded all expectations.
ride-sharing,driver behavior,negative,The driver behavior totally ruined my experience with this ride-sharing.
streaming services,ads,positive,"Hands down, this is the best ads I've experienced with any streaming services."
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
smartphones,camera,neutral,"The smartphones's camera does the job, nothing exciting."
restaurants,food quality,neutral,No real complaints or praise for the food quality of this restaurants.
ride-sharing,ride cost,negative,Wish the ride cost on this ride-sharing was better.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
ride-sharing,wait time,negative,This ride-sharing seriously dropped the ball on wait time.
restaurants,price,positive,"Hands down, this is the best price I've experienced with any restaurants."
smartphones,battery life,positive,I'm genuinely impressed with the battery life on this smartphones.
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
ride-sharing,route efficiency,neutral,"Honestly, the route efficiency feels pretty average for a ride-sharing."
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
streaming services,subscription price,negative,The subscription price totally ruined my experience with this streaming services.
ride-sharing,ride cost,negative,This ride-sharing seriously dropped the ball on ride cost.
streaming services,ads,negative,Really disappointed by the ads in this streaming services.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
restaurants,food quality,neutral,"The food quality on the restaurants is okay, I guess."
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
ride-sharing,wait time,negative,Really disappointed by the wait time in this ride-sharing.
streaming services,video quality,negative,Still can't get over how bad the video quality is on this streaming services.
streaming services,content variety,negative,The content variety totally ruined my experience with this streaming services.
restaurants,food quality,negative,Still can't get over how bad the food quality is on this restaurants.
